name,lines,type,latitude,longitude
ELTINGVILLE PK,Z,SRT,40.5446,-74.164581
HARRISON,1,PTH,40.738879,-74.155533
TOMPKINSVILLE,1,SRT,40.636948,-74.074824
ST. GEORGE,1,SRT,40.643738,-74.073622
ST. GEORGE,1,SRT,40.643738,-74.073622
JOURNAL SQUARE,1,PTH,40.732102,-74.063915
GROVE STREET,1,PTH,40.719876,-74.042616
EXCHANGE PLACE,1,PTH,40.716737,-74.033024
BAY RIDGE-95 ST,R,BMT,40.616624,-74.030964
BAY RIDGE-95 ST,R,BMT,40.616624,-74.030964
86 ST,R,BMT,40.622715,-74.028368
86 ST,R,BMT,40.622715,-74.028368
77 ST,R,BMT,40.629702,-74.025514
BAY RIDGE AVE,R,BMT,40.634945,-74.023411
59 ST,NR,BMT,40.641426,-74.017972
59 ST,NR,BMT,40.641426,-74.017972
BOWLING GREEN,45,IRT,40.704782,-74.014099
BOWLING GREEN,45,IRT,40.704782,-74.014099
BOWLING GREEN,45,IRT,40.704782,-74.014099
53 ST,R,BMT,40.644959,-74.014034
RECTOR ST,1,IRT,40.70784,-74.013691
RECTOR ST,1,IRT,40.70784,-74.013691
RECTOR ST,R,BMT,40.707222,-74.013391
RECTOR ST,R,BMT,40.707222,-74.013391
2 BDWY CUST SRV,45,IRT,40.704591,-74.013273
WALL ST,45,IRT,40.707466,-74.011867
WALL ST,45,IRT,40.707466,-74.011867
WALL ST,45,IRT,40.707466,-74.011867
WALL ST,45,IRT,40.707466,-74.011867
8 AVE,N,BMT,40.635011,-74.011717
CORTLANDT ST,1,IRT,40.710454,-74.011324
CORTLANDT ST,1,IRT,40.710454,-74.011324
CORTLANDT ST,1,IRT,40.710454,-74.011324
CORTLANDT ST,1,IRT,40.710454,-74.011324
CORTLANDT ST,R,BMT,40.710662,-74.011052
CORTLANDT ST,R,BMT,40.710662,-74.011052
CORTLANDT ST,R,BMT,40.710662,-74.011052
CORTLANDT ST,R,BMT,40.710662,-74.011052
BROAD ST,JZ,BMT,40.706539,-74.011052
BROAD ST,JZ,BMT,40.706539,-74.011052
BROAD ST,JZ,BMT,40.706539,-74.011052
PATH WTC,1,PTH,40.711638,-74.010708
PATH WTC 2,1,PTH,40.711638,-74.010708
45 ST,R,BMT,40.648866,-74.010086
WORLD TRADE CTR,23ACE,IND,40.712557,-74.009807
CHAMBERS ST,123,IRT,40.715436,-74.009335
WALL ST,23,IRT,40.706864,-74.009056
WALL ST,23,IRT,40.706864,-74.009056
WALL ST,23,IRT,40.706864,-74.009056
WALL ST,23,IRT,40.706864,-74.009056
PARK PLACE,23ACE,IRT,40.713061,-74.008777
CHAMBERS ST,ACE23,IND,40.71433,-74.008563
CHAMBERS ST,ACE23,IND,40.71433,-74.008563
FULTON ST,ACJZ2345,BMT,40.709938,-74.007983
FULTON ST,ACJZ2345,BMT,40.709938,-74.007983
FULTON ST,ACJZ2345,BMT,40.709938,-74.007983
FULTON ST,ACJZ2345,IND,40.709938,-74.007983
FULTON ST,ACJZ2345,IRT,40.709938,-74.007983
FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
FULTON ST,2345ACJZ,IRT,40.709938,-74.007983
MURRAY ST-B'WAY,R,BMT,40.713086,-74.007232
FRANKLIN ST,1,IRT,40.719323,-74.006953
FRANKLIN ST,1,IRT,40.719323,-74.006953
CANAL ST,1,IRT,40.722819,-74.006267
CANAL ST,1,IRT,40.722819,-74.006267
FT HAMILTON PKY,N,BMT,40.631428,-74.005387
FT HAMILTON PKY,N,BMT,40.631428,-74.005387
HOUSTON ST,1,IRT,40.728202,-74.005344
HOUSTON ST,1,IRT,40.728202,-74.005344
HOUSTON ST,1,IRT,40.728202,-74.005344
HOUSTON ST,1,IRT,40.728202,-74.005344
CANAL ST,ACE,IND,40.720852,-74.005237
CANAL ST,ACE,IND,40.720852,-74.005237
CHAMBERS ST,456JZ,BMT,40.713159,-74.003917
CHAMBERS ST,JZ456,BMT,40.713159,-74.003917
BROOKLYN BRIDGE,456JZ,IRT,40.713159,-74.003917
BROOKLYN BRIDGE,JZ456,IRT,40.713159,-74.003917
SPRING ST,CE,IND,40.726202,-74.003627
SPRING ST,CE,IND,40.726202,-74.003627
36 ST,DNR,BMT,40.65515,-74.003477
CHRISTOPHER ST,1,IRT,40.733405,-74.002898
CHRISTOPHER ST,1,IRT,40.733405,-74.002898
8 AVE,ACEL,BMT,40.740388,-74.002104
14 ST,ACEL,IND,40.740388,-74.002104
18 AVE,D,BMT,40.607958,-74.001782
CANAL ST,JNQRZ6,BMT,40.718697,-74.000977
CANAL ST,JNQRZ6,BMT,40.718697,-74.000977
CANAL ST,JNQRZ6,BMT,40.718697,-74.000977
CANAL ST,JNQRZ6,IRT,40.718697,-74.000977
79 ST,D,BMT,40.613513,-74.000645
W 4 ST-WASH SQ,ABCDEFM,IND,40.732251,-74.000559
W 4 ST-WASH SQ,ABCDEFM,IND,40.732251,-74.000559
CANAL ST,JNQRZ6,BMT,40.718233,-74.000323
71 ST,D,BMT,40.619588,-73.998842
20 AVE,D,BMT,40.604798,-73.998456
14 ST,123FLM,IRT,40.738007,-73.998381
14 ST,123FLM,IRT,40.738007,-73.998381
25 ST,R,BMT,40.660481,-73.998059
23 ST,CE,IND,40.745924,-73.998005
23 ST,CE,IND,40.745924,-73.998005
23 ST,CE,IND,40.745924,-73.998005
25 ST,R,BMT,40.66043,-73.997944
18 ST,1,IRT,40.741096,-73.997877
18 ST,1,IRT,40.741096,-73.997877
PRINCE ST-B'WAY,NR,BMT,40.724332,-73.997684
PRINCE ST-B'WAY,NR,BMT,40.724332,-73.997684
SPRING ST,6,IRT,40.722397,-73.997211
SPRING ST,6,IRT,40.722397,-73.997211
6 AVE,FLM123,BMT,40.737348,-73.9969
14 ST-6 AVE,FLM123,IND,40.737348,-73.9969
14 ST-6 AVE,FLM123,IND,40.737348,-73.9969
14 ST-6 AVE,FLM123,IND,40.737348,-73.9969
14 ST-6 AVE,FLM123,IND,40.737348,-73.9969
14TH STREET,1,PTH,40.737434,-73.996785
NEW UTRECHT AVE,ND,BMT,40.625419,-73.996632
NEW UTRECHT AVE,ND,BMT,40.625419,-73.996632
BROADWAY/LAFAY,BDFQ6,IND,40.725297,-73.996204
BROADWAY/LAFAY,BDFQ6,IND,40.725297,-73.996204
SMITH-9 ST,FG,IND,40.673714,-73.996139
BLEECKER ST,6DF,IRT,40.725665,-73.995645
23 ST,1,IRT,40.744071,-73.995624
23 ST,1,IRT,40.744071,-73.995624
55 ST,D,BMT,40.631412,-73.995473
CARROLL ST,FG,IND,40.680231,-73.99498
