Filename:  cf95d_05,,,,,,,,
Table #: D5,,,,,,,,
contents:  Federal case processing data,,,,,,,,
data source: Federal Justice Statistics database maintained by the Urban Institute,,,,,,,,
refer questions to: Scalia@ojp.usdoj.gov (202) 616-3276,,,,,,,,
coordinator: John Scalia and Steve Smith (202) 616-3485,,,,,,,,
"Date of version:  May 4, 1998",,,,,,,,
,,,,,,,,
"Table D-5.  Behavior of defendants released prior to trial, fiscal year 1995",,,,,,,,
,,,,,,,,
,,Percent of released defendants who had:,,,,,,
,,,Violations while on release,,,,,
,,,,,,,,
,,,,,,,,
District,Total defendants released,No violation recorded,At least one violation while on release,Failed to appear,New offense charged: Felony,New offense charged: Misdemeanor,Technical violations,Release revoked
   All districts,26380,83.6,16.4,2.5,1.9,1.5,12.4,5.6
"Alabama, Middle",111,85.6,14.4,0,4.5,1.8,10.8,5.4
"Alabama, Northern",245,94.7,5.3,1.2,1.2,0.4,3.3,2
"Alabama, Southern",155,79.4,20.6,1.9,1.3,1.3,20,11
Alaska,165,95.2,4.8,0,0.6,0,4.2,1.8
Arizona,1295,85.9,14.1,2.6,1.1,1,10.4,3
"Arkansas, Eastern",242,78.5,21.5,2.9,1.7,1.2,18.2,5.4
"Arkansas, Western",76,85.5,14.5,2.6,2.6,1,7.9,7.9
"California, Central",769,92.8,7.2,2.2,0.7,0.4,5.5,0.9
"California, Eastern",165,75.8,24.2,2.4,1.8,3,20,6.7
"California, Northern",408,88,12,2,1.2,1.2,8.6,2.5
"California, Southern",746,84.2,15.8,5.2,1.6,1.5,9,3.2
Colorado,223,82.1,17.9,3.1,0.9,2.7,13.5,2.2
Connecticut,201,90.5,9.5,1,4,0,6.5,6
Delaware,45,86.7,13.3,0,4,0,11.1,6.7
"Florida, Middle",578,83.6,16.4,2.4,1,1.7,12.8,6.6
"Florida, Northern",153,83,17,0.7,2.6,0,14.4,6.5
"Florida, Southern",560,76.1,23.9,1.3,2.9,1.8,20.4,5.2
"Georgia, Middle",330,84.5,15.5,0.6,5.2,3.6,9.1,3.3
"Georgia, Northern",318,83.6,16.4,5.7,2.8,0.9,8.5,3.1
"Georgia, Southern",147,84.4,15.6,0.7,0.7,2,12.9,6.1
Guam,62,98.4,1.6,0,0,0,1.6,1.6
Hawaii,144,73.6,26.4,4,1.4,1.4,23.6,16
Idaho,95,85.3,14.7,1.1,1,1,12.6,4.2
"Illinois, Central",105,83.8,16.2,1,1,2.9,11.4,8.6
"Illinois, Northern",380,80,20,3.4,1.8,3.7,15.8,4.5
"Illinois, Southern",106,82.1,17.9,4,0.9,1.9,12.3,12.3
"Indiana, Northern",178,93.3,6.7,0.6,1.1,1.1,3.9,2.2
"Indiana, Southern",114,98.2,1.8,0,0,0,2,1.8
"Iowa, Northern",67,68.7,31.3,1.5,0,7.5,23.9,11.9
"Iowa, Southern",54,68.5,31.5,6,1.9,1.9,24.1,18.5
Kansas,229,78.6,21.4,2.2,2.6,1.3,15.7,10.5
"Kentucky, Eastern",223,78.9,21.1,1,1.8,0.9,18.4,9
"Kentucky, Western",196,85.2,14.8,1,1,2.6,11.2,7.7
"Louisiana, Eastern",224,85.7,14.3,0.4,0.4,1.3,12.1,5.8
"Louisiana, Middle",59,93.2,6.8,0,3.4,0,3,1.7
"Louisiana, Western",134,92.5,7.5,0,2.2,0.7,4.5,5.2
Maine,90,95.6,4.4,1,1.1,0,4.4,4.4
Maryland,352,85.5,14.5,1.7,2,1.1,11.1,3.1
Massachusetts,289,87.9,12.1,1.7,3.1,0.7,11.1,8
"Michigan, Eastern",964,90.7,9.3,1,1.8,0.3,6.4,2.6
"Michigan, Western",264,87.5,12.5,1.5,1,0,10.6,6.4
Minnesota,243,78.6,21.4,2.9,1.6,1.6,16,9.1
"Mississippi, Northern",113,77.9,22.1,0,8,0.9,16.8,8
"Mississippi, Southern",159,91.2,8.8,0.6,1.3,0,6.9,4.4
"Missouri, Eastern",282,46.8,53.2,2.5,7.8,2.8,47.9,9.6
"Missouri, Western",300,75,25,2.3,2.7,3,23,10.7
Montana,158,87.3,12.7,1.3,1.3,1,10.1,10.8
Nebraska,97,70.1,29.9,0,0,1,28.9,22.7
Nevada,314,67.5,32.5,4.8,1.6,1.9,26.4,10.8
New Hampshire,79,86.1,13.9,5.1,3.8,2.5,6.3,11.4
New Jersey,493,85.8,14.2,3,3,1.8,7.7,4.9
New Mexico,592,63.2,36.8,7.8,3.4,2.4,25.5,10
"New York, Eastern",444,97.3,2.7,0.2,1.6,0,1,1.4
"New York, Northern",213,94.4,5.6,0.9,1,0,3.8,2.8
"New York, Southern",789,86.8,13.2,6.3,2.5,1.4,4.3,2.3
"New York, Western",306,71.9,28.1,7.2,7.2,6.2,19.3,8.8
"North Carolina, Eastern",612,93.1,6.9,0.8,0.2,0.7,6.2,2.6
"North Carolina, Middle",143,90.2,9.8,2.1,0.7,3.5,4.2,2.1
"North Carolina, Western",422,88.2,11.8,0,1.9,3.1,7.8,5
North Dakota,144,93.1,6.9,0,0.7,0.7,5.6,4.2
"Ohio, Northern",506,86.8,13.2,2.4,2.2,1,10.5,5.1
"Ohio, Southern",466,81.1,18.9,0.4,0.9,3.6,15.2,4.1
"Oklahoma, Eastern",39,92.3,7.7,3,0,0,7.7,2.6
"Oklahoma, Northern",123,75.6,24.4,0,0.8,0.8,22.8,4.9
"Oklahoma, Western",355,91.8,8.2,1.4,0.6,0.3,5.9,2.8
Oregon,217,69.6,30.4,2.8,3.7,3.7,22.6,12.9
"Pennsylvania, Eastern",431,84.5,15.5,2.8,3.2,1.4,11.8,5.3
"Pennsylvania, Middle",201,93,7,1,3,1,3.5,2.5
"Pennsylvania, Western",196,87.2,12.8,1,2.6,2,7.1,1
Puerto Rico,211,85.8,14.2,1.4,1.9,0,10.9,4.7
Rhode Island,77,94.8,5.2,0,0,0,5.2,1.3
South Carolina,583,80.8,19.2,1.4,1.9,0.2,15.8,12.2
South Dakota,157,75.2,24.8,1.9,1.3,3.2,19.1,19.7
"Tennessee, Eastern",312,77.2,22.8,1,3.8,1.6,18.3,9.3
"Tennessee, Middle",125,91.2,8.8,0.8,1.6,2.4,7.2,4
"Tennessee, Western",235,91.1,8.9,2.1,1.7,0.9,4.3,6.4
