account.description,account.html_url,account.id,account.label,account.name,account.taxonomy,admin_or_capital,amount,budget_holder,category_description,claim_number,contract_number,cost_centre,dataset.category,dataset.currency,dataset.default_time,dataset.description,dataset.html_url,dataset.label,dataset.name,dataset.schema_version,dataset.serp_teaser,dataset.serp_title,dataset.timestamps.created,dataset.timestamps.last_modified,department_family.html_url,department_family.id,department_family.label,department_family.name,department_family.original_name,department_family.taxonomy,description,document_date,document_number,document_value,expenditure_type,expense_area.html_url,expense_area.id,expense_area.label,expense_area.name,expense_area.taxonomy,expense_type.html_url,expense_type.id,expense_type.label,expense_type.name,expense_type.taxonomy,flag_grant,flag_sme,flag_soletrader,flag_vcs,from.html_url,from.id,from.label,from.name,from.taxonomy,html_url,id,invoice_number,invoice_source,maintainer,programme.html_url,programme.id,programme.label,programme.name,programme.taxonomy,project_code,publisher.html_url,publisher.id,publisher.label,publisher.name,publisher.taxonomy,purchase_type,sector.html_url,sector.id,sector.label,sector.name,sector.taxonomy,source.format,source.html_url,source.id,source.label,source.name,source.taxonomy,source.uri,source_dataset.html_url,source_dataset.id,source_dataset.label,source_dataset.name,source_dataset.taxonomy,subcategory_description,tax_value,time.day,time.html_url,time.id,time.label,time.month,time.name,time.quarter,time.taxonomy,time.week,time.year,time.yearmonth,to.html_url,to.id,to.label,to.name,to.opencorporates_uri,to.original_name,to.post_code,to.taxonomy,to.type,to.vat,to.vendor_number,transaction,unique_id,vendor.html_url,vendor.id,vendor.label,vendor.name,vendor.taxonomy
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),1818245403,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/treasury,1269,Treasury,treasury,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-billing-authorities-receipts,999,NNDR Billing Authorities Receipts,nndr-billing-authorities-receipts,expense_type,Yes,(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/aed73a4086f6afff6f43323f36dc375239106b43,aed73a4086f6afff6f43323f36dc375239106b43,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,XLS,https://openspending.org/ukgov-25k-spending/source/8f0fd1eb-8471-467d-8f83-b31acff95464,249,(Empty),8f0fd1eb-8471-467d-8f83-b31acff95464,source,http://www.communities.gov.uk/documents/corporate/xls/1878643.xls,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-spending-data,54,Communities and Local Government group spending data,communities-and-local-government-group-spending-data,source_dataset,(Empty),(Empty),10,https://openspending.org/ukgov-25k-spending/time/2011-02-10,172,10. February 2011,2,2011-02-10,0,time,6,2011,201102,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100199944,ec2123cf79710061906011069c918a4ef8adbff4c4e88b08253d5683e1784de7,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),1884451885,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/local-gov-reg-lg-del-ame-rfr2,1261,"Local Gov & Reg(LG DEL,AME, RfR2)",local-gov-reg-lg-del-ame-rfr2,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-billing-authorities-receipts,999,NNDR Billing Authorities Receipts,nndr-billing-authorities-receipts,expense_type,(Empty),(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/a41d33e21805160aed019083f9994cae08b2f9ca,a41d33e21805160aed019083f9994cae08b2f9ca,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,CSV,https://openspending.org/ukgov-25k-spending/source/ec75213b-24a2-4bc0-9f13-44a4f3aef3ec,240,(Empty),ec75213b-24a2-4bc0-9f13-44a4f3aef3ec,source,http://www.communities.gov.uk/documents/corporate/xls/1773609.csv,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-spending-data,54,Communities and Local Government group spending data,communities-and-local-government-group-spending-data,source_dataset,(Empty),(Empty),10,https://openspending.org/ukgov-25k-spending/time/2010-09-10,88,10. September 2010,9,2010-09-10,2,time,36,2010,201009,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100194827,a682762992e87859777b0045963af89d2c6323933c1b79ea96bee19546bc8202,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),40403975.03,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/nndr-payover-non-rfr,1101,NNDR PAYOVER (NON RfR),nndr-payover-non-rfr,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-central-list-receipts,1009,NNDR Central List Receipts,nndr-central-list-receipts,expense_type,(Empty),(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/a805592725261e400c71d817fb5e4051047485b0,a805592725261e400c71d817fb5e4051047485b0,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,CSV,https://openspending.org/ukgov-25k-spending/source/77af927d-673e-4135-a7d1-b0cbc0e03a1c,235,(Empty),77af927d-673e-4135-a7d1-b0cbc0e03a1c,source,http://www.communities.gov.uk/documents/corporate/xls/1728504.csv,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-historic-spending-data,53,Communities and Local Government group historic spending data,communities-and-local-government-group-historic-spending-data,source_dataset,(Empty),(Empty),31,https://openspending.org/ukgov-25k-spending/time/2009-03-31,849,31. March 2009,3,2009-03-31,0,time,13,2009,200903,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100167416,e08349507f2a00a012ccd813f75de4dac0c133d7dc764932a6b731b511855c1e,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),1784356319,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/nndr-payover-non-rfr,1101,NNDR PAYOVER (NON RfR),nndr-payover-non-rfr,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-billing-authorities-receipts,999,NNDR Billing Authorities Receipts,nndr-billing-authorities-receipts,expense_type,(Empty),(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/c06beab22f96adc21e1b1a6d160fb5b2d0a2f3e9,c06beab22f96adc21e1b1a6d160fb5b2d0a2f3e9,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,CSV,https://openspending.org/ukgov-25k-spending/source/77af927d-673e-4135-a7d1-b0cbc0e03a1c,235,(Empty),77af927d-673e-4135-a7d1-b0cbc0e03a1c,source,http://www.communities.gov.uk/documents/corporate/xls/1728504.csv,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-historic-spending-data,53,Communities and Local Government group historic spending data,communities-and-local-government-group-historic-spending-data,source_dataset,(Empty),(Empty),11,https://openspending.org/ukgov-25k-spending/time/2009-02-11,815,11. February 2009,2,2009-02-11,0,time,6,2009,200902,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100164624,0ba913d738b0bad8894c4a65d936c9ab7c009de444bb9bc3732e65c72f44cab9,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),114392070,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/nndr-payover-non-rfr,1101,NNDR PAYOVER (NON RfR),nndr-payover-non-rfr,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-central-list-receipts,1009,NNDR Central List Receipts,nndr-central-list-receipts,expense_type,(Empty),(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/c2fae886605ba688062c05e52c99d9715d66de3c,c2fae886605ba688062c05e52c99d9715d66de3c,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,CSV,https://openspending.org/ukgov-25k-spending/source/bbaf490e-e9e3-42d0-a27e-fe05f5bafda8,236,(Empty),bbaf490e-e9e3-42d0-a27e-fe05f5bafda8,source,http://www.communities.gov.uk/documents/corporate/xls/1728510.csv,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-historic-spending-data,53,Communities and Local Government group historic spending data,communities-and-local-government-group-historic-spending-data,source_dataset,(Empty),(Empty),10,https://openspending.org/ukgov-25k-spending/time/2009-09-10,961,10. September 2009,9,2009-09-10,2,time,36,2009,200909,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100176093,8de27d687ffd11c2f5bc23a69e8284ab7077b2f4704d64c03a97a44d760e1b82,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),1329446741,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/nndr-payover-non-rfr,1101,NNDR PAYOVER (NON RfR),nndr-payover-non-rfr,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-billing-authorities-receipts,999,NNDR Billing Authorities Receipts,nndr-billing-authorities-receipts,expense_type,(Empty),(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/c11d88b5012f24c4b41f54499eb1a10d8a4eeeb8,c11d88b5012f24c4b41f54499eb1a10d8a4eeeb8,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,CSV,https://openspending.org/ukgov-25k-spending/source/77af927d-673e-4135-a7d1-b0cbc0e03a1c,235,(Empty),77af927d-673e-4135-a7d1-b0cbc0e03a1c,source,http://www.communities.gov.uk/documents/corporate/xls/1728504.csv,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-historic-spending-data,53,Communities and Local Government group historic spending data,communities-and-local-government-group-historic-spending-data,source_dataset,(Empty),(Empty),13,https://openspending.org/ukgov-25k-spending/time/2008-05-13,624,13. May 2008,5,2008-05-13,1,time,19,2008,200805,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100150615,9f784c71bdca21843b74ff0627f3c8198dc6911a6ea553cfc3383b1e7e3a85b9,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),1802899927,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/nndr-payover-non-rfr,1101,NNDR PAYOVER (NON RfR),nndr-payover-non-rfr,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-billing-authorities-receipts,999,NNDR Billing Authorities Receipts,nndr-billing-authorities-receipts,expense_type,(Empty),(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/a593219354bd63e2a525b1efcf4194f8547a5d01,a593219354bd63e2a525b1efcf4194f8547a5d01,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,CSV,https://openspending.org/ukgov-25k-spending/source/77af927d-673e-4135-a7d1-b0cbc0e03a1c,235,(Empty),77af927d-673e-4135-a7d1-b0cbc0e03a1c,source,http://www.communities.gov.uk/documents/corporate/xls/1728504.csv,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-historic-spending-data,53,Communities and Local Government group historic spending data,communities-and-local-government-group-historic-spending-data,source_dataset,(Empty),(Empty),10,https://openspending.org/ukgov-25k-spending/time/2008-09-10,708,10. September 2008,9,2008-09-10,2,time,36,2008,200809,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100156362,e027efd76b7f00212ddcd83d36b9ce924a4d84709dbe0357d62a531f2e6b45cb,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),8478526,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,NNDR Payover Jan 12 - Outturn Receipts,(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/treasury,1269,Treasury,treasury,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-outturn-receipts,1086,NNDR Outturn Receipts,nndr-outturn-receipts,expense_type,Yes,(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/a769f2c468eb9c077d447163652c1df8ec5db192,a769f2c468eb9c077d447163652c1df8ec5db192,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,XLS,https://openspending.org/ukgov-25k-spending/source/8c91943b-d343-41fc-a25a-4c28f14a0265,293,(Empty),8c91943b-d343-41fc-a25a-4c28f14a0265,source,http://www.communities.gov.uk/documents/corporate/xls/2099188.xls,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-spending-data,54,Communities and Local Government group spending data,communities-and-local-government-group-spending-data,source_dataset,(Empty),(Empty),12,https://openspending.org/ukgov-25k-spending/time/2012-01-12,348,12. January 2012,1,2012-01-12,0,time,2,2012,201201,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100212467,b2476315dc1fd31875c16ffa983d54f0ebace6c680c047f18a15f1899123ada4,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),123226395,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/treasury,1269,Treasury,treasury,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-central-list-receipts,1009,NNDR Central List Receipts,nndr-central-list-receipts,expense_type,Yes,(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/b72a6a1aaf0499ef162d526586c3f173630c216d,b72a6a1aaf0499ef162d526586c3f173630c216d,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,XLS,https://openspending.org/ukgov-25k-spending/source/3a26cd9f-359e-435f-a2aa-aecec7309d65,277,(Empty),3a26cd9f-359e-435f-a2aa-aecec7309d65,source,http://www.communities.gov.uk/documents/corporate/xls/1934338.xls,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-spending-data,54,Communities and Local Government group spending data,communities-and-local-government-group-spending-data,source_dataset,(Empty),(Empty),11,https://openspending.org/ukgov-25k-spending/time/2011-05-11,224,11. May 2011,5,2011-05-11,1,time,19,2011,201105,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100203532,05037f31b5e82ab7e24cddaae2cf69b707fc01784510766883884e5df9617bec,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
(Empty),https://openspending.org/ukgov-25k-spending/account/empty,1,(Empty),empty,account,(Empty),1860799101,(Empty),(Empty),(Empty),(None),,spending,GBP,2011,"Consolidated spending reports for all UK departmental spending above GBP 25,000 as released on a monthly basis. Data is available [here](http://ckan.net/package/ukgov-25k-spending), more information on the [Number 10 Transparency](http://transparency.number10.gov.uk/money.php) site",https://openspending.org/ukgov-25k-spending,UK Departmental Spending,ukgov-25k-spending,2011-12-07,"{{from.label}}, {{expense_area.label}}",{{to.label}} - {{expense_type.label}},2011-12-09T11:53:06.332389,2014-02-21T20:38:05.198479,https://openspending.org/ukgov-25k-spending/department_family/department-of-communities-local-government,8,Department of Communities & Local Government,department-of-communities-local-government,Communities & Local Government,department_family,(Empty),(Empty),(Empty),(Empty),(Empty),https://openspending.org/ukgov-25k-spending/expense_area/local-gov-reg-lg-del-ame-rfr2,1261,"Local Gov & Reg(LG DEL,AME, RfR2)",local-gov-reg-lg-del-ame-rfr2,expense_area,https://openspending.org/ukgov-25k-spending/expense_type/nndr-billing-authorities-receipts,999,NNDR Billing Authorities Receipts,nndr-billing-authorities-receipts,expense_type,(Empty),(Empty),,(Empty),https://openspending.org/ukgov-25k-spending/from/dclg,25,DCLG,dclg,from,https://openspending.org/ukgov-25k-spending/entries/b7ebad5f36a0adf0a902637291a291ec1a3c1a89,b7ebad5f36a0adf0a902637291a291ec1a3c1a89,,(Empty),,https://openspending.org/ukgov-25k-spending/programme/empty,1,(Empty),empty,programme,(Empty),https://openspending.org/ukgov-25k-spending/publisher/department-for-communities-and-local-government,20,Department for Communities and Local Government,department-for-communities-and-local-government,publisher,(Empty),https://openspending.org/ukgov-25k-spending/sector/empty,1,(Empty),empty,sector,XLS,https://openspending.org/ukgov-25k-spending/source/7a2004f4-1113-4c75-9a35-a342c513bb38,245,(Empty),7a2004f4-1113-4c75-9a35-a342c513bb38,source,http://www.communities.gov.uk/documents/corporate/xls/1827493.xls,https://openspending.org/ukgov-25k-spending/source_dataset/communities-and-local-government-group-spending-data,54,Communities and Local Government group spending data,communities-and-local-government-group-spending-data,source_dataset,(Empty),(Empty),10,https://openspending.org/ukgov-25k-spending/time/2010-12-10,138,10. December 2010,12,2010-12-10,3,time,49,2010,201012,https://openspending.org/ukgov-25k-spending/to/office-of-the-paymaster-general-nn,2863,OFFICE OF THE PAYMASTER GENERAL (NN,office-of-the-paymaster-general-nn,(Empty),OFFICE OF THE PAYMASTER GENERAL (NN,(Empty),to,(Empty),(Empty),(Empty),2100198251,22c0aa7d6b0ec5cbfad85c153ce88e81f317d1b1778872c2afd8899c13b5231d,https://openspending.org/ukgov-25k-spending/vendor/empty,1,(Empty),empty,vendor
